,name,year,rating,duration
1,The Shawshank Redemption,-1994,9.3,142 min
2,The Godfather,-1972,9.2,175 min
3,The Dark Knight,-2008,9,152 min
4,The Godfather: Part II,-1974,9,202 min
5,12 Angry Men,-1957,9,96 min
6,The Lord of the Rings: The Return of the King,-2003,8.9,201 min
7,Pulp Fiction,-1994,8.9,154 min
8,Schindler's List,-1993,8.9,195 min
9,Inception,-2010,8.8,148 min
10,Fight Club,-1999,8.8,139 min
11,The Lord of the Rings: The Fellowship of the Ring,-2001,8.8,178 min
12,Forrest Gump,-1994,8.8,142 min
13,"Il buono, il brutto, il cattivo",-1966,8.8,161 min
14,Drishyam 2,-2021,8.7,152 min
15,The Lord of the Rings: The Two Towers,-2002,8.7,179 min
16,The Matrix,-1999,8.7,136 min
17,Goodfellas,-1990,8.7,146 min
18,Star Wars: Episode V - The Empire Strikes Back,-1980,8.7,124 min
19,One Flew Over the Cuckoo's Nest,-1975,8.7,133 min
20,Gisaengchung,-2019,8.6,132 min
21,Interstellar,-2014,8.6,169 min
22,Cidade de Deus,-2002,8.6,130 min
23,Sen to Chihiro no kamikakushi,-2001,8.6,125 min
24,Saving Private Ryan,-1998,8.6,169 min
25,The Green Mile,-1999,8.6,189 min
26,La vita è bella,-1997,8.6,116 min
27,Se7en,-1995,8.6,127 min
28,The Silence of the Lambs,-1991,8.6,118 min
29,Star Wars,-1977,8.6,121 min
30,Seppuku,-1962,8.6,133 min
31,Shichinin no samurai,-1954,8.6,207 min
32,It's a Wonderful Life,-1946,8.6,130 min
33,Ratsasan,-2018,8.5,170 min
34,Whiplash,-2014,8.5,106 min
35,The Intouchables,-2011,8.5,112 min
36,The Prestige,-2006,8.5,130 min
37,The Departed,-2006,8.5,151 min
38,The Pianist,-2002,8.5,150 min
39,Gladiator,-2000,8.5,155 min
40,American History X,-1998,8.5,119 min
41,The Usual Suspects,-1995,8.5,106 min
42,Léon,-1994,8.5,110 min
43,The Lion King,-1994,8.5,88 min
44,Terminator 2: Judgment Day,-1991,8.5,137 min
45,Nuovo Cinema Paradiso,-1988,8.5,155 min
46,Hotaru no haka,-1988,8.5,89 min
47,Back to the Future,-1985,8.5,116 min
48,Once Upon a Time in the West,-1968,8.5,165 min
49,Psycho,-1960,8.5,109 min
50,Pather Panchali,-1955,8.5,125 min
